ID_KLASY,ID_TOWARU,ID_KLASY_NADRZ,TYP,NAZWA_KLASY,ID_KLASYFIKACJI,CZY_OBOWIAZKOWA,ID_KLASY_CENTR,CZY_IMP_Z_CENTR,CZY_KLASYFIKACJA_ZEWNETRZNA,CZY_DEFINICJA_CECH_DODATK,TS,CZY_AKTYWNY
7,,,N,GRUPY BOLANN,,N,,false,,false,0x000000000006D91A,true
8,,7,N,ACO,7,N,,false,,false,0x000000000006D91C,true
9,,7,N,AGRIMPEX,7,N,,false,,false,0x000000000006D91D,true
10,,7,N,AKCESORIA DACHOWE,7,N,,false,,false,0x000000000006D91E,true
11,,7,N,AKCESORIA DEKARSKIE,7,N,,false,,false,0x000000000006D91F,true
12,,7,N,AKCESORIA DO BLACHODACHÓWEK,7,N,,false,,false,0x000000000006D920,true
13,,7,N,AKCESORIA DO SUCHEJ ZABUDOWY,7,N,,false,,false,0x000000000006D921,true
14,,7,N,AKCESORIA ELEKTRYCZNE,7,N,,false,,false,0x000000000006D922,true
15,,7,N,AKCESORIA MALARSKIE,7,N,,false,,false,0x000000000006D923,true
16,,7,N,ALTAX,7,N,,false,,false,0x000000000006D924,true
17,,7,N,ALTRAD,7,N,,false,,false,0x000000000006D925,true
18,,7,N,AMF; INNE SUFITY,7,N,,false,,false,0x000000000006D926,true
19,,7,N,ARCELORMITTAL,7,N,,false,,false,0x000000000006D927,true
20,,7,N,ARMICAR,7,N,,false,,false,0x000000000006D928,true
21,,7,N,ASPEO,7,N,,false,,false,0x000000000006D929,true
22,,7,N,ATEX,7,N,,false,,false,0x000000000006D92A,true
23,,7,N,ATLAS,7,N,,false,,false,0x000000000006D92B,true
24,,7,N,BARLINEK,7,N,,false,,false,0x000000000006D92C,true
25,,7,N,BASF,7,N,,false,,false,0x000000000006D92D,true
26,,7,N,BAUMIT,7,N,,false,,false,0x000000000006D92E,true
27,,7,N,BECKERS,7,N,,false,,false,0x000000000006D92F,true
28,,7,N,BETAFENCE,7,N,,false,,false,0x000000000006D930,true
29,,7,N,BHP,7,N,,false,,false,0x000000000006D931,true
30,,7,N,BLACHA TYTAN-CYNK I MIEDZIANA,7,N,,false,,false,0x000000000006D932,true
31,,7,N,BLACHOTRAPEZ,7,N,,false,,false,0x000000000006D933,true
32,,7,N,BLACHPROFIL,7,N,,false,,false,0x000000000006D934,true
33,,7,N,"BLOCZKI, NADPROŻA",7,N,,false,,false,0x000000000006D935,true
34,,7,N,BLUE,7,N,,false,,false,0x000000000006D936,true
35,,7,N,BOGEN,7,N,,false,,false,0x000000000006D937,true
36,,7,N,BOSCH,7,N,,false,,false,0x000000000006D938,true
37,,7,N,BOTAMENT,7,N,,false,,false,0x000000000006D939,true
38,,7,N,BOTTARI,7,N,,false,,false,0x000000000006D93A,true
39,,7,N,BRAAS,7,N,,false,,false,0x000000000006D93B,true
40,,7,N,BRATA KOMINY,7,N,,false,,false,0x000000000006D93C,true
41,,7,N,BROS,7,N,,false,,false,0x000000000006D93D,true
42,,7,N,BUDMAT,7,N,,false,,false,0x000000000006D93E,true
43,,7,N,BUDMIAR,7,N,,false,,false,0x000000000006D93F,true
